timestamp,Ambient Temperature,Runtime,Exciter Field Current,Line Current,Reactive Power
"2021-04-20T12:07:01.244000+0000",22.0,"",0.0055,12.255,0.0201
"2021-04-20T12:07:00.242000+0000",22.1,"",0.9075,98.79,0.7464
"2021-04-20T12:06:59.243000+0000",21.8,"",0.9761,97.95,0.7746
"2021-04-20T12:06:58.243000+0000",21.8,"",0.9871,96.465,0.7623
"2021-04-20T12:06:57.239000+0000",22.3,"",0.9816,98.835,0.8001
"2021-04-20T12:06:56.239000+0000",21.8,"",0.979,97.905,0.7857
"2021-04-20T12:06:55.286000+0000",21.9,"",1.034,97.995,0.7767
"2021-04-20T12:06:54.239000+0000",22.0,"",0.9761,96.255,0.7116
"2021-04-20T12:06:53.236000+0000",21.9,"",0.9845,99.57,0.726
"2021-04-20T12:06:52.283000+0000",22.0,"",0.9871,97.77,0.7152
"2021-04-20T12:06:51.236000+0000",22.1,"",1.067,98.025,0.7062
"2021-04-20T12:06:50.236000+0000",22.0,"",0.9845,98.7,0.6498
"2021-04-20T12:06:49.235000+0000",22.1,"",1.0036,98.04,0.6327
"2021-04-20T12:06:48.232000+0000",22.1,"",1.078,100.17,0.6612
"2021-04-20T12:06:47.227000+0000",22.2,"",0.9651,97.92,0.624
"2021-04-20T12:06:46.277000+0000",21.8,"",0.8936,99.54,0.6696
"2021-04-20T12:06:45.230000+0000",22.0,"",1.0505,96.06,0.5898
"2021-04-20T12:06:44.228000+0000",22.1,"",0.9046,98.325,0.6531
"2021-04-20T12:06:43.227000+0000",22.0,"",0.913,96.615,0.6099
"2021-04-20T12:06:42.226000+0000",22.0,"",1.0696,97.62,0.6387
"2021-04-20T12:06:41.227000+0000",22.0,"",1.078,97.485,0.63
"2021-04-20T12:06:40.222000+0000",22.0,"",0.957,96.78,0.6159
"2021-04-20T12:06:39.222000+0000",21.8,"",1.0725,99.045,0.6819
"2021-04-20T12:06:38.219000+0000",21.9,"",0.8965,98.505,0.6393
"2021-04-20T12:06:37.265000+0000",22.1,"",0.9321,98.55,0.6192
"2021-04-20T12:06:36.219000+0000",21.8,"",1.0505,97.44,0.6465
"2021-04-20T12:06:35.218000+0000",21.8,"",0.9955,97.44,0.5838
"2021-04-20T12:06:34.231000+0000",21.9,"",1.001,96.765,0.6288
"2021-04-20T12:06:33.216000+0000",21.9,"",1.0505,98.88,0.5814
"2021-04-20T12:06:32.210000+0000",22.0,"",1.0421,98.46,0.5817
"2021-04-20T12:06:31.212000+0000",22.0,"",0.9845,98.64,0.5949
"2021-04-20T12:06:30.210000+0000",22.0,"",1.0505,98.655,0.5817
"2021-04-20T12:06:29.212000+0000",22.0,"",1.0505,98.565,0.6564
"2021-04-20T12:06:28.211000+0000",22.1,"",1.0505,99.705,0.6495
"2021-04-20T12:06:27.208000+0000",21.9,"",0.9515,96.9,0.6681
"2021-04-20T12:06:26.208000+0000",22.0,"",1.023,96.03,0.6459
"2021-04-20T12:06:25.208000+0000",22.2,"",0.9706,96.585,0.5988
"2021-04-20T12:06:24.205000+0000",21.8,"",0.924,95.97,0.5454
"2021-04-20T12:06:23.203000+0000",22.1,"",0.9651,95.76,0.561
"2021-04-20T12:06:22.201000+0000",22.0,"",0.9761,95.745,0.5736
"2021-04-20T12:06:21.201000+0000",22.0,"",0.9046,96.525,0.5436
"2021-04-20T12:06:20.199000+0000",22.0,"",0.9101,95.175,0.5538
"2021-04-20T12:06:19.197000+0000",21.9,"",0.9625,95.055,0.5223
"2021-04-20T12:06:18.197000+0000",22.0,"",0.9651,94.65,0.522
"2021-04-20T12:06:17.196000+0000",22.0,"",0.946,94.38,0.5403
"2021-04-20T12:06:16.291000+0000",22.1,"",1.0531,93.18,0.5523
"2021-04-20T12:06:15.192000+0000",22.0,"",1.001,93.24,0.5064
"2021-04-20T12:06:14.192000+0000",21.9,"",0.9926,93.78,0.5433
"2021-04-20T12:06:13.188000+0000",22.1,"",0.9431,92.94,0.5232
"2021-04-20T12:06:12.192000+0000",22.1,"",0.8826,95.805,0.5319
"2021-04-20T12:06:11.188000+0000",21.8,"",0.935,95.88,0.5124
"2021-04-20T12:06:10.186000+0000",22.2,"",0.9486,94.98,0.5403
"2021-04-20T12:06:09.187000+0000",21.8,"",0.913,96.585,0.5457
"2021-04-20T12:06:08.185000+0000",21.8,"",0.9541,95.115,0.4974
"2021-04-20T12:06:07.183000+0000",22.2,"",0.957,95.865,0.5544
"2021-04-20T12:06:06.181000+0000",22.0,"",0.9266,96.555,0.5775
"2021-04-20T12:06:05.181000+0000",22.1,"",0.9651,94.71,0.5169
"2021-04-20T12:06:04.179000+0000",22.1,"",0.9541,91.845,0.5607
"2021-04-20T12:06:03.178000+0000",22.0,"",0.9211,93.66,0.5523
"2021-04-20T12:06:02.176000+0000",22.0,"",0.9706,94.425,0.5262
"2021-04-20T12:06:01.170000+0000",22.0,"",0.9735,94.71,0.4644
"2021-04-20T12:06:00.177000+0000",21.9,"",0.9405,92.97,0.5004
"2021-04-20T12:05:59.175000+0000",22.0,"",0.9871,92.13,0.5109
"2021-04-20T12:05:58.172000+0000",21.9,"",0.957,92.805,0.468
"2021-04-20T12:05:57.171000+0000",21.9,"",0.9955,92.22,0.5043
"2021-04-20T12:05:56.171000+0000",22.1,"",1.0091,92.1,0.5451
"2021-04-20T12:05:55.169000+0000",22.0,"",0.9845,94.695,0.5481
"2021-04-20T12:05:54.168000+0000",21.8,"",0.9101,93.33,0.5001
"2021-04-20T12:05:53.165000+0000",21.8,"",0.9541,94.125,0.5106
"2021-04-20T12:05:52.166000+0000",21.8,"",0.9486,93.57,0.5517
"2021-04-20T12:05:51.164000+0000",21.9,"",0.99,93.33,0.4938
"2021-04-20T12:05:50.161000+0000",22.1,"",0.9431,92.715,0.4494
"2021-04-20T12:05:49.160000+0000",21.9,"",0.979,93.105,0.4671
"2021-04-20T12:05:48.160000+0000",22.0,"",1.023,92.445,0.4491
"2021-04-20T12:05:47.188000+0000",22.0,"",0.9431,93.06,0.4722
"2021-04-20T12:05:46.154000+0000",22.0,"",0.99,94.05,0.4521
"2021-04-20T12:05:45.152000+0000",22.0,"",0.979,93.27,0.4656
"2021-04-20T12:05:44.152000+0000",21.9,"",0.9156,93.69,0.5337
"2021-04-20T12:05:43.154000+0000",22.1,"",1.001,92.775,0.5058
"2021-04-20T12:05:42.151000+0000",22.0,"",0.9926,92.88,0.4491
"2021-04-20T12:05:41.147000+0000",22.1,"",0.9706,91.995,0.4932
"2021-04-20T12:05:40.146000+0000",21.9,"",0.9926,93.9,0.4551
"2021-04-20T12:05:39.147000+0000",22.1,"",1.023,92.67,0.474
"2021-04-20T12:05:38.145000+0000",22.1,"",0.9515,92.37,0.453
"2021-04-20T12:05:37.143000+0000",21.9,"",0.9871,91.845,0.4713
"2021-04-20T12:05:36.143000+0000",21.8,"",1.0285,91.83,0.5061
"2021-04-20T12:05:35.143000+0000",22.3,"",0.9486,93.39,0.4971
"2021-04-20T12:05:34.140000+0000",21.8,"",0.913,92.64,0.4746
"2021-04-20T12:05:33.139000+0000",21.8,"",0.924,93.57,0.4494
"2021-04-20T12:05:32.136000+0000",22.1,"",1.0421,92.535,0.4962
"2021-04-20T12:05:31.136000+0000",21.9,"",1.0091,92.985,0.4782
"2021-04-20T12:05:30.135000+0000",21.9,"",0.913,93.015,0.4788
"2021-04-20T12:05:29.134000+0000",22.0,"",0.935,91.035,0.4752
"2021-04-20T12:05:28.132000+0000",21.9,"",1.0146,91.125,0.4542
"2021-04-20T12:05:27.131000+0000",22.0,"",0.99,90.495,0.555
"2021-04-20T12:05:26.132000+0000",21.9,"",0.9295,89.16,0.5205
"2021-04-20T12:05:25.126000+0000",22.0,"",1.0256,90.72,0.5133
"2021-04-20T12:05:24.126000+0000",22.0,"",0.9486,91.395,0.5064
"2021-04-20T12:05:23.127000+0000",22.0,"",1.0146,91.38,0.5133
"2021-04-20T12:05:22.127000+0000",22.1,"",0.9981,91.05,0.4998
"2021-04-20T12:05:21.119000+0000",22.0,"",0.8606,92.505,0.4674
"2021-04-20T12:05:20.123000+0000",22.0,"",0.9761,91.605,0.5049
"2021-04-20T12:05:19.122000+0000",21.9,"",0.979,92.37,0.5079
"2021-04-20T12:05:18.121000+0000",21.9,"",0.946,93.24,0.549
"2021-04-20T12:05:17.119000+0000",22.1,"",0.9955,91.2,0.525
"2021-04-20T12:05:16.116000+0000",22.1,"",0.9981,92.55,0.5037
"2021-04-20T12:05:15.115000+0000",22.0,"",0.9101,92.43,0.5184
"2021-04-20T12:05:14.116000+0000",22.1,"",0.9651,92.28,0.5445
"2021-04-20T12:05:13.113000+0000",22.1,"",0.9596,93.63,0.5379
"2021-04-20T12:05:12.159000+0000",21.9,"",0.9541,94.605,0.5511
"2021-04-20T12:05:11.109000+0000",22.1,"",1.0091,91.74,0.5217
"2021-04-20T12:05:10.108000+0000",22.2,"",0.9926,94.47,0.5286
"2021-04-20T12:05:09.112000+0000",21.8,"",0.9431,93.435,0.5394
"2021-04-20T12:05:08.107000+0000",22.2,"",1.0146,93.765,0.5658
"2021-04-20T12:05:07.107000+0000",22.1,"",0.9845,94.455,0.5508
"2021-04-20T12:05:06.106000+0000",22.0,"",1.0256,93.045,0.4962
"2021-04-20T12:05:05.103000+0000",22.0,"",0.9266,95.505,0.5568
"2021-04-20T12:05:04.103000+0000",22.0,"",1.001,94.26,0.564
"2021-04-20T12:05:03.102000+0000",22.0,"",0.9541,94.05,0.5325
"2021-04-20T12:05:02.101000+0000",22.0,"",0.9295,94.89,0.5433
"2021-04-20T12:05:01.100000+0000",22.0,"",0.935,91.455,0.5091
"2021-04-20T12:05:00.098000+0000",22.1,"",1.0285,93.255,0.558
"2021-04-20T12:04:59.095000+0000",22.0,"",0.891,92.76,0.5553
"2021-04-20T12:04:58.094000+0000",21.9,"",1.0256,91.47,0.5307
"2021-04-20T12:04:57.093000+0000",22.1,"",1.0091,92.25,0.5295
"2021-04-20T12:04:56.091000+0000",22.0,"",0.9211,93.135,0.5364
"2021-04-20T12:04:55.091000+0000",21.9,"",1.0065,92.88,0.5385
